#Latitude(degree) Longitude(degree) AngularRotation(degree/Myr) PlateAbbreviation
#See https://doi.org/10.1002/2014GC005407, Table 2 for the plate name
   49.90585  -80.63779    0.26687 AF
   61.85187 -106.77113    0.27092 AM
   59.15598 -127.49231    0.22009 AN
   51.35912  -18.47344    0.46535 AR
   44.79854   64.57841    0.24729 AS
   32.35934   38.00460    0.63025 AU
  -62.53280  105.37645    0.65852 BC
  -44.08003  -54.23429    0.33133 BG
   -4.73124  -76.34899    2.33094 BU
   36.86449  -99.47775    0.27394 CA
  -76.95682   36.89800    0.56482 CL
   26.69361 -124.83619    1.16025 CO
   41.48043   26.09140    0.60973 CP
   21.52657   36.42455    2.49057 DA
   25.06223   67.62431   11.33140 EA
   55.46613  -99.87818    0.25401 EU
    2.68568   81.38306    5.48174 GP
   22.96568  -86.09625    0.45957 GV
   51.00872   -6.26458    0.50603 IN
  -38.16626   60.50600    0.98899 JF
   34.29523   70.79877   22.36850 JZ
   52.96495  -61.96348    0.25372 LW
   10.77607  142.74524    2.17682 MA
   -1.39575  -86.22086    0.20716 NA
  -30.38391  135.25606    1.22057 NB
   -3.73560 -174.25488    3.30543 NI
   48.82662 -103.92873    0.59553 NZ
   26.84046  -94.36179    0.19350 OK
   38.28545  145.74663    1.36452 ON
  -62.55280  110.70031    0.68129 PA
   16.16143  -84.69278    1.37670 PM
   27.09674  -82.63611    0.48440 PR
  -47.86983  -27.91613    0.89546 PS
   20.14238 -107.27486    4.49814 RI
   52.31187  -72.02418    0.25065 RO
  -20.65750 -124.96844    0.12308 SA
    6.81396  -32.37181    6.64864 SB
   18.33135 -105.32989    0.10899 SC
   53.47689   -5.20934    0.45812 SI
   27.15610  128.68604    7.15197 SK
   65.39621  133.99413    1.70349 SL
   47.31176  -97.19883    0.32885 SO
   -3.75485  130.61333    1.68773 SS
   36.27953  135.28316    2.85065 ST
   51.07929  -94.63186    0.33318 SU
  -30.91444  -35.42188    1.36309 SW
   26.32677    4.35588    8.83896 TO
   44.31649 -105.33076    0.31461 VI
   -1.99894  130.64130    1.97304 WL
   64.79375 -114.81006    0.31963 YA
